date,open,high,low,last,close,number_of_shares,number_of_trades,turnover
2024-12-11,1447.38,1456.14,1441.23,1447.7,1447.7,0,0,0
2024-12-12,1448.03,1457.42,1445.15,1448.52,1448.52,0,0,0
2024-12-13,1448.6,1450.49,1442.11,1445.87,1445.87,0,0,0
2024-12-16,1445.85,1446.06,1428.06,1429.9,1429.9,0,0,0
2024-12-17,1429.93,1429.93,1416.51,1417.55,1417.55,0,0,0
2024-12-18,1417.56,1425.71,1413.66,1414.24,1414.24,0,0,0
2024-12-19,1412.72,1412.72,1400.99,1406.06,1406.06,0,0,0
2024-12-20,1406.1,1407.17,1393.33,1400.54,1400.54,0,0,0
2024-12-23,1400.54,1410.8,1400.3,1408.0,1408.0,0,0,0
2024-12-24,0.0,1408.0,1408.0,1408.0,1408.0,0,0,0
2024-12-27,1408.11,1426.53,1407.99,1425.1,1425.1,0,0,0
2024-12-30,1425.13,1426.67,1420.12,1425.05,1425.05,0,0,0
2024-12-31,0.0,1425.05,1425.05,1425.05,1425.05,0,0,0
2025-01-02,1425.03,1460.62,1425.03,1458.15,1458.15,0,0,0
2025-01-03,1458.21,1465.76,1451.08,1462.48,1462.48,0,0,0
2025-01-06,1462.4,1467.4,1453.85,1461.23,1461.23,0,0,0
2025-01-07,1461.21,1469.73,1454.92,1469.54,1469.54,0,0,0
2025-01-08,1470.47,1476.87,1462.56,1466.56,1466.56,0,0,0
2025-01-09,1465.97,1476.18,1465.32,1472.83,1472.83,0,0,0
2025-01-10,1472.85,1484.92,1472.08,1479.81,1479.81,0,0,0
2025-01-13,1479.7,1483.28,1467.22,1479.15,1479.15,0,0,0
2025-01-14,1478.99,1487.44,1475.92,1477.47,1477.47,0,0,0
2025-01-15,1477.45,1491.86,1476.88,1491.02,1491.02,0,0,0
2025-01-16,1490.97,1501.03,1484.43,1486.03,1486.03,0,0,0
2025-01-17,1486.03,1495.72,1486.03,1493.65,1493.65,0,0,0
2025-01-20,1493.49,1495.79,1491.21,1491.21,1491.21,0,0,0
2025-01-21,1491.15,1491.24,1479.02,1485.35,1485.35,0,0,0
2025-01-22,1485.35,1498.09,1485.35,1489.35,1489.35,0,0,0
2025-01-23,1489.35,1503.03,1488.05,1503.03,1503.03,0,0,0
2025-01-24,1502.58,1509.86,1488.95,1489.14,1489.14,0,0,0
2025-01-27,1488.96,1491.68,1480.85,1491.68,1491.68,0,0,0
2025-01-28,1491.68,1505.56,1488.09,1498.11,1498.11,0,0,0
2025-01-29,1498.58,1510.52,1498.58,1510.49,1510.49,0,0,0
2025-01-30,1510.49,1522.22,1510.48,1522.22,1522.22,0,0,0
2025-01-31,1522.32,1522.56,1512.02,1515.46,1515.46,0,0,0
2025-02-03,1515.03,1515.03,1486.94,1498.83,1498.83,0,0,0
2025-02-04,1498.93,1511.02,1493.54,1510.13,1510.13,0,0,0
2025-02-05,1510.11,1518.39,1499.92,1502.11,1502.11,0,0,0
2025-02-06,1501.85,1515.91,1498.65,1499.25,1499.25,0,0,0
2025-02-07,1499.23,1499.23,1481.66,1485.1,1485.1,0,0,0
2025-02-10,1485.01,1495.57,1485.01,1487.44,1487.44,0,0,0
2025-02-11,1487.27,1505.24,1487.27,1505.01,1505.01,0,0,0
2025-02-12,1505.33,1505.75,1479.0,1481.21,1481.21,0,0,0
2025-02-13,1484.83,1485.64,1468.97,1482.34,1482.34,0,0,0
2025-02-14,1482.39,1492.49,1477.14,1488.2,1488.2,0,0,0
2025-02-17,1490.9,1496.27,1482.92,1491.36,1491.36,0,0,0
2025-02-18,1491.39,1496.65,1485.18,1491.05,1491.05,0,0,0
2025-02-19,1491.26,1503.43,1491.02,1497.79,1497.79,0,0,0
2025-02-20,1497.82,1497.82,1489.64,1493.34,1493.34,0,0,0
2025-02-21,1494.07,1506.61,1493.4,1500.24,1500.24,0,0,0
2025-02-24,1500.75,1508.33,1495.54,1498.18,1498.18,0,0,0
2025-02-25,1497.96,1505.09,1492.87,1493.55,1493.55,0,0,0
2025-02-26,1493.59,1502.47,1493.59,1501.64,1501.64,0,0,0
2025-02-27,1501.61,1501.61,1486.27,1492.91,1492.91,0,0,0
2025-02-28,1492.66,1492.68,1482.1,1489.65,1489.65,0,0,0
2025-03-03,1494.13,1514.19,1494.13,1507.41,1507.41,0,0,0
2025-03-04,1507.48,1507.48,1462.3,1462.3,1462.3,0,0,0
2025-03-05,1462.4,1487.5,1462.4,1472.75,1472.75,0,0,0
2025-03-06,1473.13,1486.36,1468.35,1476.13,1476.13,0,0,0
2025-03-07,1476.45,1490.96,1471.93,1490.91,1490.91,0,0,0
2025-03-10,1490.92,1494.09,1481.28,1486.21,1486.21,0,0,0
2025-03-11,1485.89,1490.79,1471.36,1475.69,1475.69,0,0,0
2025-03-12,1475.69,1483.47,1471.12,1471.21,1471.21,0,0,0
2025-03-13,1471.3,1493.91,1471.01,1493.27,1493.27,0,0,0
2025-03-14,1493.49,1505.12,1491.16,1504.51,1504.51,0,0,0
2025-03-17,1504.66,1523.81,1504.66,1523.81,1523.81,0,0,0
2025-03-18,1523.91,1539.35,1523.91,1532.87,1532.87,0,0,0
2025-03-19,1532.84,1544.68,1530.59,1544.01,1544.01,0,0,0
2025-03-20,1544.31,1551.24,1528.29,1539.5,1539.5,0,0,0
2025-03-21,1540.94,1543.47,1528.67,1534.35,1534.35,0,0,0
2025-03-24,1534.72,1541.97,1526.71,1530.81,1530.81,0,0,0
2025-03-25,1530.81,1544.48,1530.81,1534.72,1534.72,0,0,0
2025-03-26,1536.47,1543.72,1533.19,1542.58,1542.58,0,0,0
2025-03-27,1542.48,1542.48,1520.19,1534.3,1534.3,0,0,0
2025-03-28,1534.26,1534.44,1511.04,1513.98,1513.98,0,0,0
2025-03-31,1514.05,1518.8,1497.82,1516.52,1516.52,0,0,0
2025-04-01,1516.73,1527.23,1516.73,1518.11,1518.11,0,0,0
2025-04-02,1517.78,1523.93,1498.27,1500.3,1500.3,0,0,0
2025-04-03,1496.86,1496.86,1463.3,1469.7,1469.7,0,0,0
2025-04-04,1470.39,1470.39,1395.87,1396.13,1396.13,0,0,0
2025-04-07,1394.39,1406.98,1314.6,1390.09,1390.09,0,0,0
2025-04-08,1390.56,1406.95,1369.9,1401.52,1401.52,0,0,0
2025-04-09,1401.27,1401.27,1343.3,1362.84,1362.84,0,0,0
2025-04-10,1364.67,1437.58,1364.67,1401.51,1401.51,0,0,0
2025-04-11,1401.83,1416.48,1388.58,1407.76,1407.76,0,0,0
2025-04-14,1408.53,1437.86,1408.53,1434.74,1434.74,0,0,0
2025-04-15,1434.8,1452.14,1434.8,1446.78,1446.78,0,0,0
2025-04-16,1446.62,1447.47,1430.31,1447.47,1447.47,0,0,0
2025-04-17,0.0,1447.47,1447.47,1447.47,1447.47,0,0,0
2025-04-22,1447.62,1448.25,1429.85,1437.37,1437.37,0,0,0
2025-04-23,1438.29,1461.77,1438.29,1453.91,1453.91,0,0,0
2025-04-24,1454.0,1458.88,1447.96,1452.23,1452.23,0,0,0
2025-04-25,1456.86,1466.47,1450.95,1456.43,1456.43,0,0,0
2025-04-28,1456.67,1468.12,1456.67,1467.54,1467.54,0,0,0
2025-04-29,1469.31,1472.35,1458.03,1472.35,1472.35,0,0,0
2025-04-30,1484.64,1488.46,1475.58,1487.07,1487.07,0,0,0
2025-05-02,1488.61,1510.15,1488.34,1510.15,1510.15,0,0,0
2025-05-05,1510.86,1515.21,1500.64,1514.89,1514.89,0,0,0
2025-05-06,1515.14,1518.01,1502.59,1508.97,1508.97,0,0,0
2025-05-07,1509.4,1512.95,1502.27,1512.95,1512.95,0,0,0
2025-05-08,1515.02,1527.25,1511.2,1514.11,1514.11,0,0,0
2025-05-09,1514.38,1518.25,1505.11,1505.35,1505.35,0,0,0
2025-05-12,1509.73,1525.39,1509.73,1520.32,1520.32,0,0,0
2025-05-13,1520.47,1527.88,1516.38,1525.55,1525.55,0,0,0
2025-05-14,1527.03,1538.17,1527.03,1535.09,1535.09,0,0,0
2025-05-15,1538.43,1547.17,1525.18,1547.17,1547.17,0,0,0
2025-05-16,1548.02,1566.51,1548.02,1565.56,1565.56,0,0,0
2025-05-19,1565.59,1565.59,1547.2,1558.73,1558.73,0,0,0
2025-05-20,1558.71,1565.86,1553.23,1561.46,1561.46,0,0,0
2025-05-21,1562.15,1569.36,1561.37,1569.15,1569.15,0,0,0
2025-05-22,1572.28,1572.34,1541.36,1546.79,1546.79,0,0,0
2025-05-23,1547.88,1561.56,1530.44,1549.67,1549.67,0,0,0
2025-05-26,1549.72,1567.72,1549.72,1564.87,1564.87,0,0,0
2025-05-27,1565.08,1577.69,1563.39,1574.52,1574.52,0,0,0
2025-05-28,1575.32,1582.19,1564.53,1564.95,1564.95,0,0,0
2025-05-29,0.0,1564.95,1564.95,1564.95,1564.95,0,0,0
2025-05-30,1565.54,1574.02,1560.65,1561.61,1561.61,0,0,0
2025-06-02,1561.54,1573.5,1556.73,1569.64,1569.64,0,0,0
2025-06-03,1570.36,1576.07,1565.39,1569.53,1569.53,0,0,0
2025-06-04,1569.6,1582.12,1568.58,1579.39,1579.39,0,0,0
2025-06-05,1579.47,1591.27,1576.57,1583.01,1583.01,0,0,0
2025-06-06,1582.93,1590.84,1582.93,1584.61,1584.61,0,0,0
2025-06-09,0.0,1584.61,1584.61,1584.61,1584.61,0,0,0
2025-06-10,1584.61,1602.38,1584.4,1600.91,1600.91,0,0,0
2025-06-11,1600.66,1613.27,1598.48,1610.88,1610.88,0,0,0
2025-06-12,1610.93,1618.14,1604.49,1616.14,1616.14,0,0,0
2025-06-13,1616.12,1631.9,1616.08,1627.37,1627.37,0,0,0
2025-06-16,1627.37,1641.91,1627.36,1633.46,1633.46,0,0,0
2025-06-17,1632.99,1640.21,1626.49,1636.76,1636.76,0,0,0
2025-06-18,1636.72,1640.35,1633.89,1637.65,1637.65,0,0,0
2025-06-19,1639.02,1645.14,1634.06,1645.14,1645.14,0,0,0
2025-06-20,1645.45,1649.64,1635.08,1643.85,1643.85,0,0,0
2025-06-23,1644.09,1650.73,1633.13,1633.13,1633.13,0,0,0
2025-06-24,1633.15,1634.58,1598.72,1605.68,1605.68,0,0,0
2025-06-25,1605.68,1608.27,1594.47,1600.55,1600.55,0,0,0
2025-06-26,1600.65,1605.68,1593.58,1597.57,1597.57,0,0,0
2025-06-27,1597.53,1612.16,1597.28,1607.73,1607.73,0,0,0
2025-06-30,1607.84,1621.32,1607.79,1621.29,1621.29,0,0,0
2025-07-01,1621.36,1621.53,1608.21,1608.3,1608.3,0,0,0
2025-07-02,1608.3,1621.56,1604.14,1619.37,1619.37,0,0,0
2025-07-03,1619.38,1632.99,1619.35,1629.27,1629.27,0,0,0
2025-07-04,1629.26,1633.25,1622.39,1631.88,1631.88,0,0,0
2025-07-07,1631.99,1635.05,1628.41,1633.51,1633.51,0,0,0
2025-07-08,1633.48,1635.03,1625.94,1633.8,1633.8,0,0,0
2025-07-09,1633.8,1636.93,1621.64,1621.64,1621.64,0,0,0
2025-07-10,1621.9,1634.15,1621.9,1632.43,1632.43,0,0,0
2025-07-11,1632.5,1633.82,1618.14,1627.14,1627.14,0,0,0
2025-07-14,1627.13,1637.64,1618.28,1628.78,1628.78,0,0,0
2025-07-15,1628.87,1631.54,1620.88,1624.67,1624.67,0,0,0
2025-07-16,1624.65,1624.65,1609.63,1609.63,1609.63,0,0,0
2025-07-17,1609.62,1613.5,1605.4,1610.4,1610.4,0,0,0
2025-07-18,1612.33,1621.14,1612.12,1616.92,1616.92,0,0,0
2025-07-21,1616.99,1617.53,1608.18,1608.18,1608.18,0,0,0
2025-07-22,1610.67,1617.25,1609.53,1612.43,1612.43,0,0,0
2025-07-23,1612.41,1620.89,1610.4,1614.08,1614.08,0,0,0
2025-07-24,1614.35,1632.6,1614.35,1624.96,1624.96,0,0,0
2025-07-25,1624.77,1627.31,1613.02,1614.53,1614.53,0,0,3214899760
2025-07-28,1614.89,1627.59,1614.88,1625.05,1625.05,0,0,0
2025-07-29,1625.07,1634.15,1625.07,1633.47,1633.47,0,0,0
2025-07-30,1633.48,1638.69,1616.29,1621.45,1621.45,0,0,0
2025-07-31,1621.28,1627.15,1618.99,1625.25,1625.25,0,0,0
2025-08-01,1625.41,1625.41,1602.03,1605.43,1605.43,0,0,0
2025-08-04,1605.45,1620.46,1605.45,1616.5,1616.5,0,0,0
2025-08-05,1616.5,1628.85,1616.5,1623.18,1623.18,0,0,0
2025-08-06,1623.24,1630.81,1622.01,1624.55,1624.55,0,0,0
2025-08-07,1624.49,1625.4,1612.85,1621.7,1621.7,0,0,0
2025-08-08,1621.7,1633.19,1620.36,1622.72,1622.72,0,0,0
2025-08-11,1622.65,1622.65,1610.19,1611.97,1611.97,0,0,0
2025-08-12,1612.61,1623.68,1612.57,1623.67,1623.67,0,0,0
2025-08-13,1623.66,1630.06,1620.69,1626.56,1626.56,0,0,0
2025-08-14,1626.56,1635.29,1626.56,1630.9,1630.9,0,0,0
2025-08-15,1630.91,1640.5,1629.58,1634.23,1634.23,0,0,0
2025-08-18,1638.35,1638.43,1628.18,1632.69,1632.69,0,0,0
2025-08-19,1632.68,1639.42,1630.33,1635.64,1635.64,0,0,0
2025-08-20,1635.65,1645.56,1629.87,1644.9,1644.9,0,0,0
2025-08-21,1645.42,1658.65,1645.2,1657.37,1657.37,0,0,0
2025-08-22,1657.49,1665.73,1657.49,1664.42,1664.42,0,0,0
2025-08-25,1664.2,1664.37,1655.71,1661.86,1661.86,0,0,0
2025-08-26,1662.56,1662.6,1653.03,1659.54,1659.54,0,0,0
2025-08-27,1659.73,1659.73,1645.25,1646.08,1646.08,0,0,0
2025-08-28,1646.27,1649.93,1635.19,1636.18,1636.18,0,0,0
2025-08-29,1636.73,1652.14,1636.73,1646.47,1646.47,0,0,0
2025-09-01,1647.1,1649.7,1643.68,1647.12,1647.12,0,0,0
2025-09-02,1647.13,1649.95,1626.49,1632.74,1632.74,0,0,0
2025-09-03,1633.06,1635.16,1617.68,1619.0,1619.0,0,0,0
2025-09-04,1619.16,1632.36,1615.55,1629.72,1629.72,0,0,0
2025-09-05,1629.82,1635.27,1625.88,1625.88,1625.88,0,0,0
2025-09-08,1625.91,1636.81,1625.55,1632.64,1632.64,0,0,0
2025-09-09,1632.84,1641.09,1631.58,1641.09,1641.09,0,0,0
2025-09-10,1640.93,1653.18,1639.7,1653.18,1653.18,0,0,0
2025-09-11,1653.47,1660.63,1649.36,1652.98,1652.98,0,0,0
2025-09-12,1652.87,1656.99,1646.63,1654.62,1654.62,0,0,0
2025-09-15,1654.62,1666.24,1653.95,1664.18,1664.18,0,0,0
2025-09-16,1664.2,1665.32,1653.27,1657.19,1657.19,0,0,0
2025-09-17,1657.42,1658.24,1647.3,1650.53,1650.53,0,0,0
2025-09-18,1650.59,1659.54,1646.68,1651.25,1651.25,0,0,0
2025-09-19,1651.29,1658.31,1645.49,1645.65,1645.65,0,0,0
2025-09-22,1645.74,1648.29,1639.74,1641.51,1641.51,0,0,0
2025-09-23,1641.54,1658.84,1641.54,1655.91,1655.91,0,0,0
2025-09-24,1656.85,1664.22,1651.15,1662.61,1662.61,0,0,0
2025-09-25,1662.53,1669.02,1655.92,1655.92,1655.92,0,0,0
2025-09-26,1656.77,1666.42,1650.74,1662.43,1662.43,0,0,0
2025-09-29,1662.42,1669.3,1656.52,1657.67,1657.67,0,0,0
2025-09-30,1657.63,1657.63,1643.28,1644.57,1644.57,0,0,0
2025-10-01,1644.53,1658.87,1644.52,1657.71,1657.71,0,0,0
2025-10-02,1658.42,1660.71,1650.48,1650.48,1650.48,0,0,0
2025-10-03,1650.55,1663.94,1650.55,1659.31,1659.31,0,0,0
2025-10-06,1659.31,1670.25,1658.35,1668.04,1668.04,0,0,0
2025-10-07,1668.04,1668.39,1649.49,1649.49,1649.49,0,0,0
2025-10-08,1649.34,1655.91,1646.06,1652.36,1652.36,0,0,0
2025-10-09,1652.51,1665.57,1651.1,1653.12,1653.12,0,0,0
2025-10-10,1653.09,1657.82,1647.29,1650.86,1650.86,0,0,0
2025-10-13,1650.83,1650.83,1633.99,1638.62,1638.62,0,0,0
2025-10-14,1638.47,1638.47,1627.33,1632.14,1632.14,0,0,0
2025-10-15,1632.14,1643.74,1632.01,1643.17,1643.17,0,0,0
2025-10-16,1645.64,1645.64,1636.67,1643.87,1643.87,0,0,0
2025-10-17,1643.82,1643.82,1606.13,1623.18,1623.18,0,0,0
2025-10-20,1623.36,1633.94,1623.16,1628.46,1628.46,0,0,0
2025-10-21,1628.59,1635.94,1624.11,1632.15,1632.15,0,0,0
2025-10-22,1632.16,1636.65,1623.45,1627.71,1627.71,0,0,0
2025-10-23,1627.76,1653.09,1627.76,1652.59,1652.59,0,0,0
2025-10-24,1652.59,1653.2,1635.44,1642.83,1642.83,0,0,0
