strategy,price_lookback,short_lookback,volume_fast,volume_slow,breakout_lookback,ma_days,risk_lookback,accumulation_lookback,liquidity_lookback,min_liquidity_quantile,top_n,strategy_total_return,strategy_annualized_return,strategy_max_drawdown,strategy_sharpe,equal_weight_total_return,osebx_total_return,excess_vs_osebx
momentum_volume,63,21,20,100,63,50,63,63,20,0.25,8,0.04711008212358281,0.02336485506406394,-0.030203689317875426,0.5207260014573228,0.37680370343265723,0.39099862331886404,-0.3438885411952812
volume_trend_confirmation,63,21,20,100,63,50,63,63,20,0.25,8,0.04695397384482569,0.023288306143772752,-0.03044526154542404,0.5329114358832912,0.37680370343265723,0.39099862331886404,-0.34404464947403834
liquidity_momentum,42,21,10,50,63,50,63,63,20,0.25,10,0.04687406274748818,0.023249118908879707,-0.026039275650797777,0.6001904020840323,0.37680370343265723,0.39099862331886404,-0.34412456057137586
obv_accumulation,42,21,20,100,63,50,63,63,20,0.25,10,0.046537558176741545,0.023084085626943418,-0.02539365854604203,0.5955624701911985,0.37680370343265723,0.39099862331886404,-0.3444610651421225
liquidity_momentum,63,21,10,50,63,50,63,63,20,0.25,5,0.04638859684990271,0.023011021484830252,-0.03655897578840861,0.45872409075031517,0.37680370343265723,0.39099862331886404,-0.34461002646896133
risk_adjusted_momentum,21,21,5,20,63,50,63,63,20,0.25,8,0.046156780100508055,0.022897307220984375,-0.04134874894408458,0.43364800012433796,0.37680370343265723,0.39099862331886404,-0.344841843218356
risk_adjusted_momentum,63,21,10,50,63,50,63,63,20,0.25,8,0.046106422765629596,0.022872603518271806,-0.02355672699707334,0.5277626234991672,0.37680370343265723,0.39099862331886404,-0.34489220055323444
quiet_accumulation,63,21,10,50,63,50,63,63,20,0.25,10,0.045695215013293655,0.022670855928346167,-0.019471424172694318,0.6384108542910484,0.37680370343265723,0.39099862331886404,-0.3453034083055704
volume_reversal,63,21,10,50,63,50,63,63,20,0.25,8,0.04566015934533807,0.02265365501618244,-0.020165843982839493,0.5704797113412853,0.37680370343265723,0.39099862331886404,-0.34533846397352597
risk_adjusted_momentum,189,21,20,100,63,50,63,63,20,0.25,3,0.045647584790448725,0.0226474849363818,-0.0373003126127156,0.47482660043288205,0.37680370343265723,0.39099862331886404,-0.3453510385284153
breakout_liquidity,63,21,10,50,126,50,63,63,20,0.25,10,0.045362770268922326,0.022507722306364997,-0.02234851212175648,0.5352852460185662,0.37680370343265723,0.39099862331886404,-0.3456358530499417
quiet_accumulation,63,21,10,50,63,50,63,63,20,0.25,3,0.04532247239242837,0.022487946019845495,-0.03098902473789944,0.481859891929968,0.37680370343265723,0.39099862331886404,-0.34567615092643567
risk_adjusted_momentum,42,21,5,20,63,50,63,63,20,0.25,10,0.045050595293284035,0.02235451170583569,-0.024707051866122876,0.5453480276684456,0.37680370343265723,0.39099862331886404,-0.34594802802558
obv_accumulation,63,21,5,20,63,50,63,63,20,0.25,8,0.04442381740948309,0.022046830039548215,-0.022394623350252996,0.5793403468254724,0.37680370343265723,0.39099862331886404,-0.34657480590938095
quiet_accumulation,42,21,10,50,63,50,63,63,20,0.25,5,0.04434790374712394,0.02200955821247641,-0.018213918587767997,0.6379813794437066,0.37680370343265723,0.39099862331886404,-0.3466507195717401
obv_accumulation,21,21,20,100,63,50,63,63,20,0.25,5,0.04429561352504807,0.02198388415510122,-0.06191633732194102,0.40567068866584305,0.37680370343265723,0.39099862331886404,-0.34670300979381596
quiet_accumulation,63,21,10,50,63,50,63,63,20,0.25,8,0.04417107852239721,0.021922735941069638,-0.023798727328670166,0.6282235041171644,0.37680370343265723,0.39099862331886404,-0.3468275447964668
momentum_volume,42,21,5,20,63,50,63,63,20,0.25,8,0.044004612045841274,0.02184099318337651,-0.02693496785946592,0.5353711945128864,0.37680370343265723,0.39099862331886404,-0.34699401127302276
volume_trend_confirmation,42,21,20,100,63,50,63,63,20,0.25,8,0.04389519961014221,0.021787263067702067,-0.033926676658247334,0.503549117390976,0.37680370343265723,0.39099862331886404,-0.3471034237087218
liquidity_momentum,63,21,10,50,63,50,63,63,20,0.25,10,0.043831791580949186,0.02175612345139899,-0.02243265221829427,0.5654371410348559,0.37680370343265723,0.39099862331886404,-0.34716683173791485
volume_trend_confirmation,21,21,10,50,63,50,63,63,20,0.25,5,0.04379595555162008,0.021738523998288795,-0.055708686019468656,0.40035210015462974,0.37680370343265723,0.39099862331886404,-0.34720266776724396
obv_accumulation,42,21,5,20,63,50,63,63,20,0.25,10,0.04370621530988594,0.021694450295167034,-0.023922654752584926,0.5600609788190892,0.37680370343265723,0.39099862331886404,-0.3472924080089781
breakout_liquidity,189,21,10,50,126,50,63,63,20,0.25,8,0.04353865020969638,0.021612149780145584,-0.02712316048359531,0.51096721638595,0.37680370343265723,0.39099862331886404,-0.34745997310916765
