rebalance_date,asof_date,symbol,score,selected
2016-08-31,2016-06-02,AKRBP,-1.7881516949687084,False
2016-09-30,2016-07-02,MOWI,1.110522936935815,True
2016-09-30,2016-07-02,SALM,0.860801118746657,True
2016-09-30,2016-07-02,AFG,0.8438766662999928,True
2016-09-30,2016-07-02,BRG,0.43746898168688086,True
2016-09-30,2016-07-02,TOM,0.43534937556378306,True
2016-09-30,2016-07-02,YAR,0.17091222289024435,False
2016-09-30,2016-07-02,ORK,0.16194741319714545,False
2016-09-30,2016-07-02,GJF,0.1575347668322281,False
2016-09-30,2016-07-02,VEI,0.1548509391395546,False
2016-09-30,2016-07-02,NHY,0.1401509404397404,False
2016-09-30,2016-07-02,ATEA,0.11950661055174322,False
2016-09-30,2016-07-02,VEND,0.0785523983774898,False
2016-09-30,2016-07-02,PROT,0.0764726659590703,False
2016-09-30,2016-07-02,NOD,0.012219205855855647,False
2016-09-30,2016-07-02,SUBC,-0.1266887286133912,False
2016-09-30,2016-07-02,TEL,-0.14785277700061128,False
2016-09-30,2016-07-02,KOG,-0.21269166150605257,False
2016-09-30,2016-07-02,EQNR,-0.46490576336866296,False
2016-09-30,2016-07-02,DNB,-0.6429788141452826,False
2016-09-30,2016-07-02,STB,-0.9424750623711152,False
2016-09-30,2016-07-02,FRO,-0.9615703491432122,False
2016-09-30,2016-07-02,AKRBP,-1.628756341934967,False
2016-10-31,2016-08-02,MOWI,1.110522936935815,True
2016-10-31,2016-08-02,SALM,0.860801118746657,True
2016-10-31,2016-08-02,AFG,0.8438766662999928,True
2016-10-31,2016-08-02,BRG,0.43746898168688086,True
2016-10-31,2016-08-02,TOM,0.43534937556378306,True
2016-10-31,2016-08-02,YAR,0.17091222289024435,False
2016-10-31,2016-08-02,ORK,0.16194741319714545,False
2016-10-31,2016-08-02,GJF,0.1575347668322281,False
2016-10-31,2016-08-02,VEI,0.1548509391395546,False
2016-10-31,2016-08-02,NHY,0.1401509404397404,False
2016-10-31,2016-08-02,ATEA,0.11950661055174322,False
2016-10-31,2016-08-02,VEND,0.0785523983774898,False
2016-10-31,2016-08-02,PROT,0.0764726659590703,False
