ticker,period_end_date,fundamental_score,quality_score,growth_score
TEL,2016-12-31,0.3733277576977046,0.2181595982493983,0.8388322360426235
TOM,2016-12-31,0.35608891761069694,0.41832520264780476,0.16938006249937357
ATEA,2016-12-31,0.26558726970028834,0.2886614655249259,0.1963646822263758
GJF,2016-12-31,0.20620780487506002,0.21295553464326905,0.1859646155704328
PROT,2016-12-31,0.1759776165353802,0.18773256561635676,0.14071276929245044
NHY,2016-12-31,0.16911178155580892,0.0574734313476816,0.5040268321801908
ORK,2016-12-31,0.04230381631590948,0.010697690329059456,0.13712219427645955
VEND,2016-12-31,0.0009504217726738692,-0.01247181730210803,0.041217138997019565
YAR,2016-12-31,-0.16011315569027657,-0.24923885323083483,0.10726393693139821
KOG,2016-12-31,-0.18738709329049277,-0.29262254938781734,0.1283192750014809
FRO,2016-12-31,-0.2831583207847486,-0.3829489182873524,0.016213471723062648
NOD,2016-12-31,-0.3163573381414484,-0.427720885014908,0.017733302478930662
STB,2016-12-31,-0.35958865379560984,-0.5719986848779905,0.2776414394515323
AKRBP,2016-12-31,-0.4602366224688486,-0.5981108442034153,-0.04661395726514851
EQNR,2016-12-31,-0.5451416175743413,-0.7525647488617057,0.0771277762877516
SUBC,2016-12-31,-0.8527346263010759,0.3239729172628377,-4.382857256992817
DNB,2016-12-31,-1.5400609967117773,-2.089911643474688,0.10949094357695542
AFG,2017-03-31,0.6683415235787814,0.8216172267526836,0.20851441405707502
SALM,2017-03-31,0.6573940137988962,0.8070205470461698,0.2085144140570753
ELK,2017-03-31,0.45824607721207955,0.5414899649304145,0.208514414057075
MOWI,2017-03-31,0.42718787316194956,0.5000790261969076,0.20851441405707558
BRG,2017-03-31,0.40822804086293357,0.47479924979821975,0.20851441405707521
ATEA,2017-03-31,0.32954308101810764,0.36988597000511847,0.20851441405707521
TOM,2017-03-31,0.31650963538135485,0.3525080424894481,0.2085144140570751
SUBC,2017-03-31,0.2709302516380163,0.29173553083166565,0.2085144140570683
VEI,2017-03-31,0.27080061676589967,0.29156268433550786,0.20851441405707524
VEND,2017-03-31,0.1914740285605185,0.18579390006166638,0.20851441405707494
NHY,2017-03-31,0.17458583383960624,0.16327630710044985,0.20851441405707533
ORK,2017-03-31,0.13131321634505652,0.10557948377438368,0.20851441405707502
GJF,2017-03-31,0.12731525356368512,0.1002488667325551,0.2085144140570751
TEL,2017-03-31,0.039740788316735644,-0.016517086930044278,0.2085144140570754
KOG,2017-03-31,-0.03545022607951397,-0.1167717727917103,0.20851441405707502
PROT,2017-03-31,-0.07096171981981317,-0.1641204311121093,0.2085144140570753
YAR,2017-03-31,-0.1671934895350896,-0.29242945739914444,0.2085144140570749
NOD,2017-03-31,-0.17516554329751785,-0.3030588624157154,0.20851441405707485
AKRBP,2017-03-31,-0.1972082643739757,-0.3324491571843258,0.20851441405707466
STB,2017-03-31,-0.3167290620637328,-0.4918102207706689,0.20851441405707538
FRO,2017-03-31,-0.6548058447222679,-0.9425792643153822,0.20851441405707474
EQNR,2017-03-31,-1.3914204775796954,-0.3261216003543791,-4.587317109255644
DNB,2017-03-31,-1.4852173104433908,-2.049794551943546,0.208514414057075
SUBC,2017-06-30,1.3270910329040129,0.2617528138657343,4.523105690018848
SALM,2017-06-30,0.7887947519357552,1.0844296248215863,-0.09810986672173799
AFG,2017-06-30,0.7440341974956346,1.0717372316749136,-0.23907490504220258
MOWI,2017-06-30,0.4962950740298607,0.6403932009173567,0.06400069336737269
VEI,2017-06-30,0.2708144852879769,0.4138213071359358,-0.15820598025589983
TOM,2017-06-30,0.20968007607087014,0.3523138153824049,-0.21822114186373437
BRG,2017-06-30,0.17430606128149442,0.2880868695636598,-0.16703636356500176
ATEA,2017-06-30,0.14218400625004335,0.24456806121709665,-0.16496815865111655
TEL,2017-06-30,0.10271017493131684,0.09948272150056374,0.11239253522357617
NHY,2017-06-30,0.09447870026111713,0.15426204192050158,-0.08487132471703626
ELK,2017-06-30,0.09307245910539948,0.24119820937744546,-0.35130479171073853
ORK,2017-06-30,0.06973203892334955,0.17084870459798338,-0.23361795810055191
GJF,2017-06-30,-0.0054688893044151435,0.061792246507457856,-0.20725229674003415
VEND,2017-06-30,-0.08569375403974079,-0.17160811304818846,0.17204932298560222
